,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
228,29035.7,29026.6,29070.0,28969.0,5719.26,2023-08-05 12:00:00,29025.324999999997,29041.939096320384,29070.0,28969.0
229,29026.6,29053.5,29088.1,28993.6,2354.86,2023-08-05 16:00:00,29040.449999999997,29041.19454816019,29088.1,28993.6
230,29053.5,29054.9,29079.5,29040.6,1370.13,2023-08-05 20:00:00,29057.125,29049.159774080093,29079.5,29040.6
231,29054.9,29051.1,29066.3,29019.1,2086.19,2023-08-06 00:00:00,29047.85,29048.504887040046,29066.3,29019.1
232,29051.1,29081.4,29097.1,29028.9,2904.64,2023-08-06 04:00:00,29064.625,29056.564943520025,29097.1,29028.9
233,29081.4,29065.0,29125.0,29032.5,3504.26,2023-08-06 08:00:00,29075.975,29066.26997176001,29125.0,29032.5
234,29065.0,28998.5,29065.0,28975.9,3838.84,2023-08-06 12:00:00,29026.1,29046.184985880005,29065.0,28975.9
235,28998.5,29076.9,29092.2,28990.1,3151.03,2023-08-06 16:00:00,29039.424999999996,29042.80499294,29092.2,28990.1
236,29076.9,29074.6,29193.1,29022.3,5985.01,2023-08-06 20:00:00,29091.725,29067.26499647,29193.1,29022.3
237,29074.6,29146.6,29213.6,29008.0,7389.01,2023-08-07 00:00:00,29110.699999999997,29088.982498234996,29213.6,29008.0
238,29146.6,29083.3,29183.2,29036.7,4421.5,2023-08-07 04:00:00,29112.45,29100.716249117497,29183.2,29036.7
239,29083.3,29081.4,29140.0,29031.5,4736.26,2023-08-07 08:00:00,29084.050000000003,29092.38312455875,29140.0,29031.5
240,29081.4,28847.8,29137.0,28774.4,18003.24,2023-08-07 12:00:00,28960.15,29026.266562279376,29137.0,28774.4
241,28847.8,29141.4,29173.9,28685.4,22803.23,2023-08-07 16:00:00,28962.125,28994.195781139686,29173.9,28685.4
242,29141.4,29196.7,29265.6,29103.3,7127.99,2023-08-07 20:00:00,29176.75,29085.472890569843,29265.6,29085.472890569843
